"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Kentucky",26,149900,149900,149900,149900,149900,149900,149900,149000,149000,147775,145585.5,143000,139900,139900,142900,143900,147900,147000,146000,145000,145000,144900,144500,140000,139900,139900,142500,143500,142500,144500,142500,141745,139900,139900,139650,139000,138900,139000,139900,139900,140685,140000,139900,139900,139900,139900,139900,139900,139000,139900,142000,146000,149000,149900,149900,149900,149900,149900,149500,148500,148500,149900,149900,151900,157900,159000,159000,159000,159000,157500,155000,152900,150000,150000,154900,159900,159950,164000,164900,160950,160000,162000,160000,159900,159900,160000,165000,169900,174900,174900,174900,172900,172000,172500,170000,169900,173500,175000,177825,179900,184500,184900,184900,183900,184900,184900,185000,185000,184900,185000,189500,193995,199000,199500,198900,195500,195895,194950,192900,194500
"Oregon",27,250000,249900,249900,249000,249211.5,249900,249000,249000,240000,239900,239000,229950,225000,224500,224900,225000,229000,229900,230000,234500,235000,229900,219900,209500,210000,209882,212900,217500,219900,224950,225000,232350,229900,229900,229000,228000,229000,232000,239000,247900,249990,255900,259000,255000,255000,255000,250000,249900,249900,249900,250500,259900,259000,265000,269900,269500,265000,259999,259950,259000,259900,262000,269000,274900,279500,280000,284900,285000,289000,289900,289900,289000,285000,289900,299000,299999,314900,319900,324000,324900,325000,325000,325000,324900,323500,325000,330000,342000,349900,350000,355000,350000,353995,354900,354000,353661,350000,359900,365000,375000,375900,379900,375000,375000,375000,374900,369900,370000,369900,374500,379114.5,384970,389000,389900,389000,385000,385000,380000,379900,379000
"Oklahoma",28,147000,146538,147500,147900,149500,149000,147000,145900,148500,149000,148900,145000,142900,142200,145000,145000,146432.5,145000,143800,141057,140000,139900,139900,139000,137000,139500,140000,139900,140000,144000,141000,141416,140000,139900,139900,139900,139600,140000,141900,144900,145000,146204,145000,144900,145000,145278.5,145900,145900,145500,147500,149000,150000,153000,153599,154900,154900,154832.5,151900,154990,153872.5,156000,158898,159900,159900,162000,164000,164900,163900,164950,164612,165000,164900,165500,165000,168500,169900,171000,174900,174900,174700,174500,174000,174900,175000,174900,174900,175000,179000,179900,181173,183000,179900,181569,179900,179900,178400,178928,179900,181262,184900,184900,184900,184900,184900,185000,185000,185000,185000,186400,185000,189212,190229,192500,193900,191283,189900,190617,190295,194900,195000
"Connecticut",29,299000,299000,299000,299000,299500,299500,295000,295000,282400,280000,279900,270000,274900,275000,279900,279900,285000,288000,279900,279000,275000,269900,269900,265000,259900,265000,269000,269900,275000,275000,270000,265000,269000,265000,260250,257000,254900,264500,269900,279500,285000,280000,279000,269900,269900,269000,268900,259900,259900,264900,269900,279900,284750,284900,279900,274900,274900,274900,269900,260000,264900,269900,275000,284900,285000,289000,285000,279000,279900,279900,279000,274900,274900,279900,289000,295900,299900,299900,299900,299000,299500,299000,299000,290000,289900,299000,299900,314000,319900,319900,315000,307000,309900,309900,3e+05,299900,299900,309900,319000,327500,329000,329000,324900,315000,317900,314900,314900,309000,304895,315000,325000,329900,332900,331995,329900,319900,324900,319900,319000,312900
"Iowa",30,139950,140000,143000,144900,144900,144900,144900,142900,139900,139900,139000,135000,134500,132500,135000,134900,136500,138000,135000,134900,132000,133000,132475,129900,129900,130000,134500,135000,135000,135000,134900,133000,130500,129900,130000,129900,129900,129950,134500,135000,138500,137972.5,135000,134900,131500,130000,129900,129900,129900,131900,137500,139900,140000,141900,139900,139900,139000,138000,138900,135900,139000,139900,144500,148000,157500,158000,155000,152700,149900,149900,149700,147900,149500,150000,155900,159900,160000,164900,164900,160000,159900,159900,155500,153000,155000,160000,165000,169900,174900,175000,174900,169900,169500,169000,169000,168859.5,169900,174990,180000,181500,184900,184500,179900,176500,174900,170000,169900,169000,169900,169900,175350,179900,179900,182900,179900,179000,175000,175000,175000,174900
"Mississippi",31,157900,158900,155000,155000,156000,155000,154900,154900,154900,153000,151900,149900,149777,148800,149900,150000,153000,154900,154900,154900,155000,150000,149900,149900,149500,148800,149900,149500,149500,149900,149900,149900,149500,149900,149000,148000,149500,149900,149900,149999,153200,154600,154900,153225,154900,152500,150000,150000,150000,150000,154900,157500,159000,159000,159000,159000,159000,158500,158900,157000,159000,159730.5,159900,160900,164900,164500,164900,164500,167000,160225,160000,159900,159900,159900,161000,164900,165900,168500,169000,167500,165000,167600,169000,167000,167000,168000,170000,175000,178900,179000,179000,179000,179500,179900,176900,178000,179000,179000,179900,183500,185000,184000,184900,184900,184900,181600,180700,180000,179900,179999,185000,187900,189000,189500,189000,189000,189000,188000,187900,189000
"Arkansas",32,149900,149900,149500,149900,149900,150000,149900,149900,149900,149862.5,149000,145000,140000,139900,142500,142978,144900,144900,145000,145000,145000,144900,144900,144900,144000,145000,147500,149900,149900,149900,149900,149800,146000,145000,144900,143000,143500,144900,145000,147450,147900,147500,144900,144500,144900,140000,140000,139900,139900,139900,140000,142500,144000,145900,145300,145650,145000,145000,144900,144900,145000,147500,149900,149000,154250,154900,155000,154000,150900,152500,150000,149900,149900,149900,153000,154900,159000,159500,159900,159000,158000,156000,154900,154500,154900,155900,159000,159900,162000,164900,165000,164950,165000,165000,165000,164900,165000,167000,169900,175000,175000,176000,179000,174987,175000,175000,175000,175000,174999,174900,176900,179900,179900,179900,179900,179750,179357,179500,178000,176000
"Kansas",33,149950,149975,152000,152000,149900,149900,149000,146957.5,147900,146100,145000,139950,139500,139000,139900,143000,145000,145000,144900,144900,142500,140000,139900,139500,137900,139900,142900,145000,142500,139500,134950,134000,129900,129900,129900,127500,125000,129500,132000,135000,136900,135500,135000,135000,134950,134000,132500,130000,129950,132900,137500,142900,147150,145866.5,145000,140000,139900,139000,139000,137000,137950,139500,149900,158000,164900,164900,159977.5,154950,155900,155000,150000,149900,149000,152900,158000,159950,160000,164500,161500,159000,155000,154950,150000,149500,149500,154900,160000,169900,175000,175000,171500,169900,172000,174500,172000,168000,169437.5,174500,179000,187900,194000,194900,189000,184900,185000,183000,179000,175000,175000,179000,186900,195000,199900,199900,194900,189900,190000,189900,188000,184900
"Utah",34,230000,228800,224900,224900,220000,219900,218000,215000,210000,209900,209900,199900,199500,199000,199000,194900,195900,195000,198000,199000,199000,199000,199750,199500,199900,199999,199900,199990,205000,207000,209000,214900,214900,214900,215000,215000,215000,219000,219900,228900,229900,231500,235000,235000,236900,235000,235000,238900,234900,235000,238000,245000,249000,249900,249999,250000,253000,250000,250000,255000,259900,259900,264900,269900,274900,279900,282500,285000,287000,287900,289900,294500,296945,295000,299900,299000,299500,299900,299900,299900,299900,299900,304900,309990,309900,312700,318900,324900,328000,329900,329900,329500,329900,330000,335000,339900,340000,346712.5,349900,350000,350000,353900,355000,352900,357865,352580,351450,359881.5,359900,363900,365000,369900,370000,370000,369900,369900,369000,368000,369000,372900
"Nevada",35,168000,169000,167713,165000,160000,159900,155000,150000,150000,149000,147000,139900,139900,139000,138000,135000,134900,134900,134900,135000,135000,134900,133500,130000,130500,133700,135000,139000,148900,150000,149000,145000,147500,149900,149000,150000,155000,158000,160000,165000,170000,175000,175000,188000,189900,190000,190000,189500,189000,190000,197600,199900,204900,209800,209990,219000,219900,219900,219000,219000,219000,219900,224900,229000,235000,235000,238000,239000,239900,239708,239900,239500,239000,235000,239900,246990,249999,254900,257500,259000,259900,260000,260000,262000,264999,267000,269999,275000,279900,285000,290000,290000,295000,297500,299000,299500,299900,3e+05,3e+05,307000,310000,312000,315000,324900,320000,319950,319990,319000,315000,314750,314900,318000,320000,324900,324900,324900,324900,320000,320000,320922
